¾­¶È,Î³¶È
117.187558,39.113028
117.187571,39.113043
117.187574,39.113056
117.187586,39.113076
117.187589,39.113098
117.187601,39.11315
117.18761,39.113171
117.187616,39.113193
117.187619,39.113211
117.187619,39.113226
117.187623,39.113244
117.187633,39.113259
117.187644,39.113265
117.18766,39.113271
117.187685,39.113311
117.187683,39.113324
117.187681,39.113343
117.187698,39.113354
117.187709,39.113361
117.187723,39.113369
117.187731,39.113378
117.18774,39.113381
117.187771,39.113395
117.187786,39.11341
117.187803,39.113424
117.187819,39.113435
117.187835,39.113444
117.187848,39.11345
117.187863,39.113453
117.187876,39.113469
117.187898,39.113483
117.187913,39.113513
117.187919,39.113534
117.187931,39.113544
117.187928,39.113559
117.187923,39.113606
117.187919,39.113641
117.187918,39.113651
117.187918,39.113668
117.187916,39.11368
117.187926,39.113698
117.18793,39.113718
117.187923,39.113733
117.187933,39.113748
117.187936,39.113774
117.187931,39.113793
117.187911,39.113813
117.187901,39.113818
117.187885,39.113823
117.18788,39.113826
117.18788,39.113836
117.18788,39.113851
117.187885,39.113858
117.187885,39.113864
117.187891,39.113879
117.187894,39.113901
117.187893,39.113919
117.187891,39.113928
117.18788,39.113958
117.187878,39.113991
