¾­¶È,Î³¶È
116.471552,39.921747
116.471553,39.92175
116.471555,39.92175
116.471555,39.92175
116.471557,39.921748
116.471558,39.921748
116.471557,39.921748
116.471562,39.921745
116.471568,39.921748
116.47158,39.921747
116.47159,39.921757
116.4716,39.921758
116.471612,39.921762
116.471627,39.921763
116.471637,39.921768
116.471645,39.921777
116.47165,39.921785
116.471657,39.921797
116.471663,39.921805
116.471672,39.921817
116.47168,39.921828
116.471688,39.921837
116.471702,39.921843
116.471707,39.921857
116.471712,39.921868
116.471723,39.921877
116.471737,39.921885
116.471752,39.921893
116.471767,39.921898
116.471782,39.921902
116.4718,39.921907
116.471817,39.921912
116.471835,39.921917
116.47185,39.921923
116.471868,39.921928
116.471883,39.921935
116.471898,39.92194
116.47191,39.921948
116.471923,39.921958
116.471937,39.921965
116.471952,39.92197
116.471968,39.921978
116.471982,39.921988
116.471995,39.921998
116.472012,39.922005
116.472027,39.922013
116.472035,39.922023
116.47204,39.922032
116.472045,39.922035
116.472047,39.922035
116.472048,39.92204
116.472052,39.922053
116.472055,39.922065
116.47206,39.922077
116.472063,39.922087
116.472068,39.922095
116.47207,39.922102
116.472075,39.922103
116.472075,39.922118
116.472075,39.922128
116.472073,39.922138
116.472078,39.922148
116.472083,39.922163
116.472085,39.922172
116.472087,39.922175
116.47209,39.922182
116.472093,39.922188
116.472098,39.922195
116.472103,39.922213
116.472107,39.922223
116.472105,39.92223
116.472112,39.92224
116.472113,39.922248
116.472115,39.922253
116.472115,39.92226
116.472115,39.922273
116.472113,39.922283
116.472108,39.922292
116.472122,39.922297
