¾­¶È,Î³¶È
116.326569,39.978107
116.326704,39.977998
116.326611,39.978053
116.326676,39.977956
116.326782,39.977989
116.326821,39.97799
116.326804,39.978038
116.326674,39.97841
116.326757,39.978344
116.326804,39.978435
116.326829,39.978536
116.326863,39.97862
116.326911,39.978728
116.326925,39.978808
116.326951,39.978836
116.326991,39.978857
116.327117,39.978901
116.327204,39.978968
116.327229,39.979072
116.327244,39.979158
116.327266,39.979247
116.32729,39.979335
116.327343,39.979448
116.327391,39.979555
116.327409,39.979648
116.327438,39.979737
116.327481,39.979847
116.327361,39.979893
116.327291,39.979983
116.327254,39.980073
116.327267,39.980197
116.327304,39.980308
116.327277,39.980406
116.32732,39.980512
116.3273,39.980624
116.32731,39.980708
116.327306,39.980813
116.327304,39.98093
116.32727,39.981059
116.327227,39.98116
116.327217,39.981289
116.327204,39.981393
116.32719,39.981502
116.327183,39.98162
116.327203,39.981715
116.327187,39.981822
116.327143,39.981919
116.327109,39.982013
116.327077,39.982089
116.327117,39.982207
116.327125,39.982308
116.327118,39.982394
