¾­¶È,Î³¶È
114.250038,30.616777
114.249995,30.616767
114.249952,30.616757
114.249912,30.616748
114.249873,30.616738
114.24984,30.616728
114.249815,30.616723
114.249795,30.616718
114.249773,30.616713
114.249752,30.616708
114.249725,30.616702
114.249693,30.616688
114.251368,30.615583
114.251795,30.61532
114.251893,30.615063
114.251843,30.615193
114.251993,30.614797
114.251943,30.614932
114.252043,30.614655
114.252155,30.614368
114.252878,30.612403
114.253067,30.61178
114.253113,30.611625
114.257383,30.604488
114.257398,30.604447
114.257412,30.60438
114.257427,30.604307
114.25744,30.60423
114.257453,30.60415
114.257472,30.604065
114.257485,30.603978
114.257498,30.60389
114.25751,30.603802
114.257523,30.603705
114.257547,30.6035
114.257557,30.603392
114.257567,30.603283
114.257577,30.603175
114.257597,30.602965
114.257607,30.602862
114.257618,30.60276
114.25763,30.60266
114.257638,30.602568
114.257643,30.602488
114.257653,30.602352
114.257652,30.602335
114.257648,30.602328
114.257647,30.602328
114.257643,30.602325
114.25764,30.602323
114.257637,30.602322
114.257633,30.60232
114.257628,30.60232
114.257625,30.602318
114.257622,30.602317
114.257618,30.602317
114.257615,30.602315
114.257612,30.602315
114.257608,30.602315
114.257607,30.602315
114.257603,30.602315
114.2576,30.602315
114.257597,30.602315
114.257593,30.602317
114.257588,30.602317
114.257587,30.602317
114.257585,30.602305
114.257583,30.602247
114.257587,30.602205
114.257593,30.602163
114.2576,30.602115
114.257612,30.602057
114.257628,30.60199
114.25765,30.601913
114.25767,30.601835
114.25769,30.601753
114.257707,30.601672
114.257723,30.601588
114.257742,30.601497
114.257757,30.601398
114.257778,30.601295
114.257798,30.601188
114.257813,30.601082
114.25783,30.600977
114.257842,30.600875
114.25785,30.600773
114.257862,30.600682
114.257897,30.600443
114.257903,30.600417
114.257908,30.600398
114.257912,30.60039
114.257913,30.600388
114.257915,30.600387
114.257917,30.600385
114.257918,30.600383
114.25792,30.600383
114.25792,30.600382
114.257922,30.600382
114.257923,30.600382
114.257923,30.60038
114.257925,30.60038
114.257925,30.60038
114.257925,30.60038
114.257928,30.60038
