¾­¶È,Î³¶È
116.3187,39.98472
116.31864,39.984558
116.319684,39.984802
116.319516,39.984745
116.319622,39.984766
116.319669,39.984692
116.319757,39.984707
116.319777,39.984827
116.319773,39.984852
116.319837,39.984915
116.319844,39.984938
116.319914,39.984951
116.319949,39.985003
116.319986,39.985015
116.320047,39.985012
116.320109,39.984959
116.320154,39.984918
116.320241,39.984864
116.320321,39.984852
116.320379,39.984856
116.320457,39.98483
116.320568,39.98483
116.320688,39.984818
116.320734,39.984833
116.320801,39.98483
116.320852,39.984832
116.320902,39.984836
116.320972,39.984848
116.321051,39.984844
116.321103,39.984859
116.321169,39.984862
116.321203,39.984861
116.321259,39.984866
116.321311,39.984883
116.321372,39.984888
116.321426,39.984875
116.321467,39.984867
116.321527,39.984864
116.321596,39.984821
116.321688,39.984832
116.321742,39.984829
116.321796,39.984818
116.321833,39.984803
116.321936,39.984824
116.322075,39.98482
116.322183,39.984829
116.322266,39.984865
116.322336,39.984862
116.322414,39.984846
116.322511,39.984836
116.322574,39.984845
116.322628,39.984828
116.322637,39.984804
116.322682,39.984799
116.322735,39.984793
116.322778,39.984777
116.322836,39.984797
116.322882,39.984808
116.322943,39.984806
116.323018,39.984808
116.323073,39.984803
116.323141,39.984783
116.323217,39.984786
116.323297,39.984798
116.323355,39.984789
