¾­¶È,Î³¶È
75.989985,39.477125
75.98999,39.477083
75.98998,39.477053
75.989972,39.477033
75.989965,39.476977
75.989937,39.476928
75.989937,39.476913
75.989933,39.476905
75.989917,39.47689
75.989903,39.476878
75.989903,39.476848
75.989897,39.476828
75.98987,39.476762
75.989877,39.47675
75.989882,39.476742
75.98989,39.476727
75.98989,39.476718
75.989887,39.47671
75.989903,39.476688
75.989928,39.47667
75.989937,39.476668
75.989952,39.476653
75.989968,39.476638
75.989977,39.47662
75.98998,39.476612
75.989983,39.476607
75.989987,39.476602
75.989988,39.476598
75.989987,39.476593
75.989987,39.47659
75.989988,39.476587
75.98999,39.476583
75.989992,39.476578
75.989993,39.476575
75.989997,39.476572
75.990005,39.476567
75.990015,39.47656
75.990025,39.47655
75.990037,39.476545
75.990047,39.476538
75.990057,39.476533
75.990072,39.476528
75.990082,39.47652
75.99009,39.47651
75.9901,39.476497
75.99011,39.476473
75.990123,39.47647
75.990135,39.476467
75.990148,39.476463
75.990162,39.47646
75.990172,39.476458
75.990182,39.476457
75.990195,39.476445
75.990348,39.47639
75.990372,39.476393
75.99039,39.476402
75.990403,39.476415
75.990407,39.476422
75.990408,39.47643
75.99041,39.476433
75.990412,39.476435
75.990417,39.476437
75.990423,39.476435
75.990437,39.47643
75.990448,39.476428
