¾­¶È,Î³¶È
117.215387,39.14382
117.215388,39.14384
117.215385,39.14386
117.215383,39.143885
117.215385,39.14391
117.21537,39.143933
117.215358,39.143957
117.215343,39.143978
117.215325,39.144007
117.215313,39.144033
117.215305,39.144065
117.215283,39.14409
117.215267,39.144115
117.215245,39.14414
117.215228,39.144162
117.215202,39.14418
117.215187,39.144182
117.215172,39.144182
117.215155,39.14419
117.215138,39.144195
117.215108,39.144213
117.215097,39.144223
117.215092,39.144227
117.21507,39.144247
117.215057,39.144255
117.215047,39.14426
117.215037,39.144268
117.21503,39.144278
117.215025,39.144288
117.215017,39.144305
117.215005,39.144322
117.214985,39.144342
117.21496,39.144363
117.214932,39.144385
117.2149,39.144412
117.21487,39.144433
117.214845,39.144455
117.214815,39.144477
117.214787,39.144498
117.21476,39.144515
117.214733,39.144535
117.214712,39.144557
117.214687,39.144578
117.214663,39.1446
117.214642,39.144618
117.214618,39.14464
117.214598,39.14466
117.214578,39.144682
117.214555,39.1447
117.214538,39.144723
117.214513,39.144745
117.214497,39.144765
117.214475,39.144787
117.214452,39.144807
117.214433,39.144825
117.214412,39.144845
117.214395,39.144865
