¾­¶È,Î³¶È
116.31971,40.007581
116.319741,40.007573
116.319788,40.007474
116.319862,40.007335
116.319903,40.007288
116.320056,40.007323
116.320244,40.007353
116.320495,40.007367
116.320766,40.00735
116.32102,40.007368
116.321168,40.007291
116.321189,40.007128
116.321207,40.006938
116.321223,40.006773
116.321197,40.006661
116.321226,40.006491
116.321193,40.006273
116.32114,40.006064
116.321137,40.005894
116.321142,40.005756
116.321113,40.00562
116.321224,40.005475
116.321276,40.00527
116.321278,40.00509
116.321303,40.004948
116.321312,40.004777
116.32141,40.004634
116.321405,40.004465
116.321392,40.004301
116.32139,40.004162
116.321383,40.003994
116.321397,40.003864
116.321429,40.003756
116.321442,40.003612
116.32143,40.003415
116.321477,40.003265
116.321529,40.003097
116.321531,40.002901
116.321569,40.002785
116.321557,40.002617
116.321547,40.002474
116.321566,40.002299
116.321565,40.002099
116.321583,40.001954
116.321624,40.001839
116.321653,40.001598
116.321669,40.001435
116.321632,40.001192
116.321668,40.00087
116.321711,40.000687
116.321758,40.0005
116.321817,40.000297
116.321853,40.000081
116.321881,39.999883
116.321948,39.99972
116.322136,39.999662
116.322351,39.999665
116.322566,39.999722
116.322797,39.999772
116.32304,39.999794
116.323319,39.999797
116.323531,39.999791
