¾­¶È,Î³¶È
116.338435,39.975231
116.338437,39.97528
116.338509,39.97526
116.338487,39.97525
116.338465,39.975261
116.33843,39.975255
116.338389,39.97525
116.338429,39.975241
116.338399,39.975263
116.338371,39.975265
116.338319,39.975245
116.338282,39.975238
116.338194,39.975271
116.338062,39.975296
116.337888,39.975315
116.337738,39.975323
116.337569,39.975335
116.337391,39.97536
116.337198,39.975373
116.337003,39.97539
116.336764,39.975387
116.336644,39.97539
116.336501,39.975383
116.33634,39.975369
116.336171,39.975358
116.335999,39.975343
116.335823,39.975332
116.335645,39.975323
116.335448,39.975308
116.335232,39.975288
116.335055,39.975284
116.334875,39.975276
116.334705,39.975269
116.334542,39.975263
116.334387,39.975261
116.334232,39.975258
116.334071,39.975258
116.333904,39.97526
116.333728,39.97526
116.333536,39.975256
116.333351,39.975256
116.333162,39.975251
116.332978,39.975249
116.332792,39.975242
116.332624,39.975238
116.332453,39.975234
116.332289,39.975231
116.332085,39.975209
116.331918,39.975208
116.331742,39.975193
116.331587,39.975184
116.331437,39.975177
