¾­¶È,Î³¶È
116.472343,39.921705
116.472342,39.921683
116.472342,39.921672
116.472315,39.921583
116.472315,39.921572
116.47229,39.92156
116.47229,39.921565
116.472288,39.92157
116.4723,39.921577
116.472307,39.92158
116.472303,39.921562
116.472308,39.921545
116.472313,39.921532
116.472317,39.921505
116.472317,39.921492
116.472323,39.921485
116.472323,39.921487
116.472318,39.921487
116.472312,39.921483
116.472305,39.921463
116.472302,39.92145
116.472323,39.921428
116.47232,39.921423
116.47232,39.921415
116.472338,39.921403
116.472348,39.921395
116.472357,39.921395
116.472365,39.921388
116.47236,39.921375
116.472357,39.921355
116.472357,39.921335
116.472353,39.92132
116.472345,39.921302
116.472343,39.921292
116.472347,39.921278
116.472332,39.921265
116.472317,39.921252
116.472307,39.921242
116.472295,39.921237
116.472303,39.92123
116.472308,39.921227
116.472295,39.921225
116.47229,39.92122
116.472287,39.921208
116.47228,39.921198
116.472263,39.921185
116.472248,39.921177
116.472237,39.921153
116.472205,39.921105
116.472198,39.921095
116.472193,39.921088
116.472195,39.92108
116.472198,39.921073
116.4722,39.921068
116.472197,39.921057
116.472192,39.92105
116.472197,39.921045
116.472218,39.921043
116.472248,39.920987
116.472225,39.920977
116.472172,39.921007
116.472178,39.921005
116.472182,39.921003
116.472183,39.921
116.472183,39.920997
116.472185,39.920993
116.472185,39.920992
116.472185,39.92099
116.472185,39.92099
116.472185,39.92099
116.472185,39.920988
116.472233,39.920917
116.472243,39.920895
116.472248,39.920883
116.472247,39.920887
116.472248,39.920878
116.472248,39.92088
116.472318,39.920658
116.47233,39.920612
116.472327,39.920587
116.472333,39.920595
116.472368,39.92042
116.472313,39.920347
116.472322,39.920303
116.47232,39.920317
116.472305,39.92029
116.47226,39.920217
116.472143,39.920072
116.472125,39.920052
116.472115,39.920038
116.472087,39.92
116.472048,39.919962
116.472025,39.919893
116.472025,39.919893
116.472022,39.919885
116.472023,39.919877
116.472023,39.91987
116.472017,39.919852
116.472015,39.919847
116.472015,39.919843
116.472022,39.919778
116.472025,39.919768
116.47203,39.91976
116.47204,39.919755
116.472043,39.91975
