¾­¶È,Î³¶È
116.326801,39.978092
116.326898,39.978094
116.326545,39.978066
116.326562,39.978059
116.32653,39.978066
116.326725,39.97809
116.326687,39.978189
116.326549,39.978208
116.3265,39.978208
116.326475,39.978212
116.326423,39.978265
116.326328,39.978309
116.326306,39.978373
116.326266,39.978432
116.326231,39.978456
116.326242,39.978478
116.326268,39.978546
116.326297,39.978603
116.326451,39.978621
116.326425,39.978606
116.326412,39.978606
116.326202,39.978605
116.326257,39.978651
116.326105,39.978946
116.326168,39.979062
116.326189,39.97918
116.326111,39.979249
116.325909,39.9793
116.325922,39.979194
116.326124,39.979149
116.326452,39.979183
116.326612,39.979189
116.326706,39.979116
116.325516,39.978595
116.325604,39.978504
116.325622,39.978466
116.32561,39.978452
116.325604,39.978428
116.325574,39.978432
116.325574,39.978432
116.325571,39.978434
116.32558,39.978431
116.325573,39.978475
116.325552,39.978542
116.325537,39.978603
116.325521,39.978667
116.325507,39.978734
116.325508,39.978804
116.325513,39.97887
116.324407,39.978461
116.324255,39.978503
116.324515,39.978866
116.324558,39.978958
116.324554,39.978999
116.324529,39.97904
116.324468,39.97905
116.324405,39.979043
116.324326,39.979021
116.324275,39.978957
116.324233,39.978885
116.324194,39.978831
116.324167,39.978814
116.324198,39.978877
116.324223,39.978923
116.324275,39.978955
116.324253,39.978987
116.324157,39.978984
116.324113,39.979005
116.324149,39.97902
